season,episode,title,location,has_coords,found,match_method,match_score,video_title,video_url
13,9,Sussex Ups and Downs,"Blackpatch, West Sussex",True,True,season/episode,1.0,"Sussex Ups and Downs (Full Episode) | S13 EP9 | Time Team (Blackpatch, West Sussex)",https://www.youtube.com/watch?v=p7oZShw7ep8
13,10,Birthplace of the Confessor,"Islip, Oxfordshire",True,True,season/episode,1.0,"Birthplace of the Confessor (Full Episode) | S13 EP10 | Time Team (Islip, Oxfordshire)",https://www.youtube.com/watch?v=vq4TYvviZa4
13,11,Early Bath,"Ffrith, Flintshire",True,True,season/episode,1.0,"Early Bath (Full Episode) | S13 EP11 | Time Team (Ffrith, Flintshire)",https://www.youtube.com/watch?v=9148ynNBbMg
13,12,The Taxman's Tavern - A Roman Mansio,"Alfoldean, Horsham, West Sussex",True,True,season/episode,0.587,The Taxman's Tavern: Roman Mansion (Full Episode) | S13 EP12 | Time Team (Alfoldean),https://www.youtube.com/watch?v=OubmpRSxV1g
13,13,Scotch Broch,"Applecross, Scottish Highlands",True,True,season/episode,1.0,"Scotch Broch (Full Episode) | S13 EP13 | Time Team (Applecross, Scottish Highlands)",https://www.youtube.com/watch?v=6oAL4lqqeh0
14,1,Finds on the Fairway,"Mount Murray, Isle of Man",True,True,season/episode,1.0,"Finds on the Fairway (Full Episode) | S14 EP1 | Time Team (Speke Keeill, Isle of Man)",https://www.youtube.com/watch?v=kW3UQEDQ0zQ
14,2,There's No Place Like Rome,"Blacklands, near Frome, Somerset",True,True,season/episode,1.0,"There’s No Place Like Rome (Full Episode) | S14 EP2 | Time Team (Blacklands, Somerset)",https://www.youtube.com/watch?v=i_aavjEEynw
14,3,School Diggers Medieval,"Hooke Court, Dorset",True,True,season/episode,0.437,"School Diggers (Full Episode) | S14 EP3 | Time Team (Hooke Court, Dorset)",https://www.youtube.com/watch?v=fUEy0ibHMc0
14,4,The Druids' Last Stand,"Amlwch, Anglesey",True,True,season/episode,1.0,The Druids' Last Stand (Full Episode) | S14 EP4 | Time Team,https://www.youtube.com/watch?v=ZJ7MzmZ3MGA
14,5,Sharpe's Redoubt,"Sandgate, Kent",True,True,season/episode,1.0,"Sharpe’s Redoubt (Full Episode) | S14 EP5 | Time Team (Sandgate, Kent)",https://www.youtube.com/watch?v=4zM7kZiz6HY
14,6,A Port and Stilton,"Stilton, Cambridgeshire",True,True,season/episode,1.0,"A Port And Stilton (Full Episode) | S14 EP6 | Time Team (Stilton, Cambridgeshire)",https://www.youtube.com/watch?v=p8TyT1erodE
14,7,A Tale of Two Villages,"Wicken, Northamptonshire",True,True,season/episode,1.0,"A Tale Of Two Villages (Full Episode) | S14 EP7 | Time Team (Wicken, Northamptonshire)",https://www.youtube.com/watch?v=V4SZfqbznps
14,8,No Stone Unturned,"Warburton, Greater Manchester",True,True,season/episode,1.0,"No Stone Unturned (Full Episode) | S14 EP8 | Time Team (Warburton, Greater Manchester)",https://www.youtube.com/watch?v=A_owrnq7tZ0
14,9,The Domesday Mill,"Dotton, Devon",True,True,season/episode,1.0,"The Domesday Mill (Full Episode) | S14 EP9 | Time Team (Dotton, Devon)",https://www.youtube.com/watch?v=VZuncwwRL6c
14,10,The Cheyne Gang,"Chesham Bois, Buckinghamshire",True,True,season/episode,1.0,"The Cheyne Gang (Full Episode) | S14 EP10 | Time Team (Chesham Bois, Buckinghamshire)",https://www.youtube.com/watch?v=v7szfz-4I3E
14,11,Road to the Relics,"Godstone, Surrey",True,True,season/episode,1.0,"Road To The Relics (Full Episode) | S14 EP11 | Time Team (Godstone, Surrey)",https://www.youtube.com/watch?v=jzawKzd5fLY
14,12,The Abbey Habit,"Poulton, Cheshire",True,True,season/episode,1.0,"The Abbey Habit (Full Episode) | S14 EP12 | Time Team (Poulton, Cheshire)",https://www.youtube.com/watch?v=yVSjxxTZl0M
14,13,In the Shadow of the Tor,"Bodmin Moor, Cornwall",True,True,season/episode,1.0,"In The Shadow Of The Tor (Full Episode) | S14 EP13 | Time Team (Bodmin Moor, Cornwall)",https://www.youtube.com/watch?v=B5_BPGGiBbY
15,1,Gold in the Moat,"Codnor Castle, Derbyshire",True,True,season/episode,1.0,"Gold in the Moat (Full Episode) | S15 EP1 | Time Team (Codnor Castle, Derbyshire)",https://www.youtube.com/watch?v=HNi-08iIYHY
15,2,Street of the Dead,"Binchester, County Durham",True,True,season/episode,1.0,"Street of the Dead (Full Episode) | S15 EP2 | Time Team (Binchester, County Durham)",https://www.youtube.com/watch?v=fv56PfqMweM
