video_url,title,location,lat,lng,season,episode
https://www.youtube.com/watch?v=3nobycsKBCs,"Mysteries Of The Mosaic (Full Episode) | S15 EP5 | Time Team (Coberley, Gloucestershire)","Coberley, Gloucestershire",,,15,5
https://www.youtube.com/watch?v=g3XIfjA_XNc,A Roman Temple in Sight of the Millennium Dome (Full Episode) | S7 EP11 | Time Team (Greenwich),Greenwich,,,7,11
https://www.youtube.com/watch?v=7nxKC8kn234,"Romans on the Range (Full Episode) | S18 EP3 | Time Team (High Ham, Somerset)","High Ham, Somerset",,,18,3
https://www.youtube.com/watch?v=hD7ZGLNUydc,"Bodies In The Dunes (Full Episode) | S15 EP3 | Time Team (Barra, Outer Hebrides)","Barra, Outer Hebrides",,,15,3
https://www.youtube.com/watch?v=OQSG2t4CTPQ,"In Search of the Earliest Traces of Mankind (Full Episode) | S7 EP6 | Time Team (Elveden, Suffolk)","Elveden, Suffolk",,,7,6
https://www.youtube.com/watch?v=ZQNk3gSSQjc,"Saxon Death, Saxon Gold (Full Episode) | S18 EP2 | Time Team (West Langton, Leicestershire)","West Langton, Leicestershire",,,18,2
https://www.youtube.com/watch?v=DqPA6MC-Jm8,"Street Of The Dead (Full Episode) | S15 EP2 | Time Team (Binchester, County Durham)","Binchester, County Durham",,,15,2
https://www.youtube.com/watch?v=vhF-74dMBJU,"Bronze Age Cropmarks (Full Episode) | S6 EP10 | Time Team (Kemerton, Worcestershire)","Kemerton, Worcestershire",,,6,10
https://www.youtube.com/watch?v=0Z-QPsnwlVM,"Reservoir Rituals (Full Episode) | S18 EP1 | Time Team (Tottiford, Devon)","Tottiford, Devon",,,18,1
https://www.youtube.com/watch?v=J8Oem3-4UuQ,"Gold In The Moat (Full Episode) | S15 EP1 | Time Team (Codnor Castle, Derbyshire)","Codnor Castle, Derbyshire",,,15,1
https://www.youtube.com/watch?v=Q_HhqW9uyjI,The Leaning Tower of Bridgnorth (Full Episode) | S8 EP11 | Time Team (Shropshire),Shropshire,,,8,11
https://www.youtube.com/watch?v=MoWV3Nx1f1w,"Commanding Heights (Full Episode) | S17 EP12 | Time Team (Dinmore, Herefordshire)","Dinmore, Herefordshire",,,17,12
https://www.youtube.com/watch?v=B5_BPGGiBbY,"In The Shadow Of The Tor (Full Episode) | S14 EP13 | Time Team (Bodmin Moor, Cornwall)","Bodmin Moor, Cornwall",,,14,13
https://www.youtube.com/watch?v=HOnJH-3IAwE,"Search for Richmond Palace (Full Episode) | S5 EP1 | Time Team (Richmond, Surrey)","Richmond, Surrey",,,5,1
https://www.youtube.com/watch?v=QlCkdSz9Ozc,"There’s A Villa Here Somewhere (Full Episode) | S17 EP11 | Time Team (Litlington, Cambridgeshire)","Litlington, Cambridgeshire",,,17,11
https://www.youtube.com/watch?v=yVSjxxTZl0M,"The Abbey Habit (Full Episode) | S14 EP12 | Time Team (Poulton, Cheshire)","Poulton, Cheshire",,,14,12
https://www.youtube.com/watch?v=yhSvLBVwdcE,"The Lost Viaduct (Full Episode) | S8 EP5 | Time Team (Blaenavon, Torfaen)","Blaenavon, Torfaen",,,8,5
https://www.youtube.com/watch?v=DVqxhojvbqE,"Priory Engagement (Full Episode) | S17 EP10 | Time Team (Burford, Oxfordshire)","Burford, Oxfordshire",,,17,10
https://www.youtube.com/watch?v=v7szfz-4I3E,"The Cheyne Gang (Full Episode) | S14 EP10 | Time Team (Chesham Bois, Buckinghamshire)","Chesham Bois, Buckinghamshire",,,14,10
https://www.youtube.com/watch?v=c9IfJqfPBdw,"Beaker Settlement (Full Episode) | S5 EP5 | Time Team (Majorca, Spain)","Majorca, Spain",,,5,5
https://www.youtube.com/watch?v=uR-y6NLuKJs,Governor's Green (Full Episode) | S17 EP9 | Time Team (Portsmouth),Portsmouth,,,17,9
https://www.youtube.com/watch?v=ujNpkyMdKtI,"The Bombers in the Marsh (Full Episode) | S12 EP3 | Time Team (Warton, Lancashire)","Warton, Lancashire",,,12,3
https://www.youtube.com/watch?v=eaewnXvuGM4,"Something For The Weekend (Full Episode) | S17 EP8 | Time Team (Tregruk Castle, South Wales)","Tregruk Castle, South Wales",,,17,8
https://www.youtube.com/watch?v=VZuncwwRL6c,"The Domesday Mill (Full Episode) | S14 EP9 | Time Team (Dotton, Devon)","Dotton, Devon",,,14,9
https://www.youtube.com/watch?v=xmWXDSDqf9Y,"Death And Dominoes (Full Episode) | S17 EP7 | Time Team (Norman Cross, Cambridgeshire)","Norman Cross, Cambridgeshire",,,17,7
https://www.youtube.com/watch?v=A_owrnq7tZ0,"No Stone Unturned (Full Episode) | S14 EP8 | Time Team (Warburton, Greater Manchester)","Warburton, Greater Manchester",,,14,8
https://www.youtube.com/watch?v=WU3G16hB4_I,"Potted History (Full Episode) | S17 EP6 | Time Team (Mildenhall, Wiltshire)","Mildenhall, Wiltshire",,,17,6
https://www.youtube.com/watch?v=V4SZfqbznps,"A Tale Of Two Villages (Full Episode) | S14 EP7 | Time Team (Wicken, Northamptonshire)","Wicken, Northamptonshire",,,14,7
https://www.youtube.com/watch?v=MIiYOgmO-Cs,The Massacre In The Cellar (Full Episode) | S17 EP5 | Time Team (Hopton Castle),Hopton Castle,,,17,5
https://www.youtube.com/watch?v=p8TyT1erodE,"A Port And Stilton (Full Episode) | S14 EP6 | Time Team (Stilton, Cambridgeshire)","Stilton, Cambridgeshire",,,14,6
https://www.youtube.com/watch?v=0dBUhjQOhtk,In The Halls Of A Saxon King (Full Episode) | S17 EP4 | Time Team (Sutton Courtenay),Sutton Courtenay,,,17,4
